lat,lng,total,white,black,native,asian,pi,other,multiple,hispanic
47.7295815,-122.3402748,42,24,5,0,6,0,1,0,6
47.7332211,-122.346421,11,6,2,0,0,0,0,1,2
47.7332184,-122.3497595,438,243,36,4,55,9,4,32,55
47.7332199,-122.3523987,53,39,7,0,7,0,0,0,0
47.7332183,-122.3536459,52,32,2,0,12,0,0,5,1
47.7332213,-122.3549146,101,49,13,1,34,0,0,1,3
47.7308311,-122.3507154,874,514,105,14,120,6,2,44,69
47.7316744,-122.3464041,411,177,81,5,77,4,1,34,32
47.7298569,-122.3463979,2,2,0,0,0,0,0,0,0
47.7277961,-122.3463734,289,163,26,2,62,3,1,14,18
47.7250135,-122.3464479,611,281,189,6,76,0,0,34,25
47.7336871,-122.3571965,43,34,1,3,4,0,0,1,0
47.7336496,-122.3598603,29,24,1,0,3,0,0,1,0
47.7327494,-122.3595049,63,49,1,0,8,0,0,2,3
47.7327824,-122.3568386,34,31,0,0,0,0,0,3,0
47.7314893,-122.3563823,97,56,6,2,3,3,0,4,23
47.7312902,-122.3576687,37,33,0,1,0,0,0,0,3
47.7314139,-122.3589227,39,35,1,0,0,0,0,2,1
47.7314178,-122.3602649,38,34,1,0,1,0,0,0,2
47.7296196,-122.3602698,48,42,0,0,4,0,0,0,2
47.7296206,-122.3589232,45,37,0,0,1,0,0,0,7
47.7296998,-122.3579138,25,18,0,1,5,0,0,1,0
47.7295386,-122.3572753,32,24,0,0,2,0,0,3,3
47.7296108,-122.3562347,74,57,2,1,3,0,0,8,3
47.7284791,-122.3569034,29,26,0,0,0,0,0,1,2
47.7284869,-122.3595876,15,14,0,0,0,0,0,0,1
47.7277882,-122.3595965,37,35,0,0,2,0,0,0,0
47.7266425,-122.3569025,638,295,109,4,85,6,3,37,99
47.7262011,-122.3595978,119,104,2,0,5,0,0,5,3
47.7245973,-122.3535888,1187 ,904 ,41,15,139,5,3,36,44
47.7259133,-122.3545278,80,45,8,0,17,0,0,5,5
47.72231,-122.3509872,89,53,1,2,6,0,2,1,24
47.7223161,-122.3522653,27,24,0,0,2,0,0,1,0
47.7223189,-122.3535458,36,32,0,0,2,0,0,2,0
47.7223225,-122.3548655,191,111,12,0,36,2,0,16,14
47.7223277,-122.3562159,93,48,6,1,22,1,0,9,6
47.7241716,-122.3567554,247,228,4,0,7,0,0,3,5
47.7242648,-122.3591954,70,63,0,0,6,0,0,0,1
47.7237315,-122.3602753,19,18,0,0,1,0,0,0,0
47.72235,-122.3602776,35,31,0,0,3,0,0,1,0
47.7223422,-122.3589263,48,43,0,0,4,0,0,0,1
47.7223348,-122.3575682,43,34,0,0,4,0,0,0,5
47.7205031,-122.3535435,45,41,0,0,0,0,0,1,3
47.7204985,-122.3522631,56,46,1,0,0,0,0,9,0
47.7204933,-122.3509737,62,48,3,0,8,0,0,3,0
47.7205066,-122.3548622,160,81,32,6,17,0,0,13,11
47.7227663,-122.3461636,9,7,1,0,0,0,0,0,1
47.7227508,-122.3477918,88,40,17,2,25,0,0,1,3
47.72277,-122.3492861,130,56,16,0,17,0,0,2,39
47.721852,-122.3476534,25,20,2,0,2,0,0,0,1
47.7204871,-122.3472206,23,20,2,0,0,0,0,0,1
47.720493,-122.3499095,27,16,0,3,2,0,1,2,3
47.718677,-122.349884,31,28,0,3,0,0,0,0,0
47.717761,-122.3471798,61,47,0,0,12,0,0,2,0
47.7168635,-122.349857,25,22,1,0,0,0,0,0,2
47.71505,-122.349637,48,40,1,0,4,0,0,3,0
47.7132366,-122.3496107,43,34,0,1,7,0,0,1,0
47.7118187,-122.3472095,197,144,14,4,17,1,0,12,5
47.7072652,-122.348077,48,35,11,0,2,0,0,0,0
47.7072774,-122.3467427,50,36,8,0,6,0,0,0,0
47.7072875,-122.3454024,90,49,6,0,7,0,1,0,27
47.7072594,-122.3494312,35,26,0,0,5,0,3,0,1
47.7083395,-122.3494546,7,7,0,0,0,0,0,0,0
47.7150524,-122.3509057,56,44,0,2,3,0,0,7,0
47.7150558,-122.3522241,36,29,0,0,0,0,0,4,3
47.7150589,-122.3535427,31,22,0,0,4,0,0,1,4
47.715062,-122.3548615,166,100,12,0,29,0,0,10,15
47.7150676,-122.3561938,165,86,23,0,21,0,0,12,23
47.7149668,-122.3572814,27,26,0,0,1,0,0,0,0
47.7152202,-122.3578935,35,14,0,0,5,0,0,3,13
47.7150798,-122.358884,38,36,0,0,0,0,0,2,0
47.7150852,-122.3602293,46,34,0,0,6,0,0,3,3
47.7132754,-122.360216,36,34,0,1,0,1,0,0,0
47.7135094,-122.3588696,36,29,0,0,2,0,0,4,1
47.7132576,-122.3578215,29,26,0,1,2,0,0,0,0
47.7132578,-122.3571508,29,22,0,0,1,0,0,6,0
47.7132531,-122.3561844,180,109,27,3,13,0,0,14,14
47.7132479,-122.3548516,150,85,24,2,6,0,0,6,27
47.7132449,-122.3535281,15,14,0,0,0,0,0,1,0
47.7132423,-122.3522051,66,53,0,0,6,0,0,4,3
47.7132394,-122.3508822,42,34,0,2,3,0,0,1,2
47.7126001,-122.3588891,11,8,0,0,0,0,0,0,3
47.7186796,-122.3509542,43,34,4,0,1,0,0,0,4
47.7186804,-122.3522577,39,34,0,0,3,0,0,2,0
47.7186857,-122.3535609,45,45,0,0,0,0,0,0,0
47.7186933,-122.3548751,94,79,4,1,3,0,0,5,2
47.7188507,-122.3565269,23,18,0,0,4,0,0,0,1
47.7205159,-122.3568956,567,541,1,0,17,0,1,5,2
47.720528,-122.3589264,56,39,1,0,7,0,0,5,4
47.7205359,-122.3602802,41,34,0,0,4,0,0,0,3
47.7187209,-122.3602711,59,46,0,0,5,0,0,7,1
47.7187132,-122.3589181,56,42,1,0,1,0,0,9,3
47.7187591,-122.3577065,41,35,0,2,1,0,0,3,0
47.7168486,-122.3576333,55,51,0,0,2,0,0,0,2
47.7170027,-122.3563115,43,31,4,0,1,0,0,3,4
47.7184033,-122.3558044,12,9,1,1,1,0,0,0,0
47.7168693,-122.3522429,46,41,0,0,2,0,0,0,3
47.7168656,-122.3509296,52,44,0,0,1,0,0,2,5
47.7168758,-122.3548715,66,25,11,1,11,0,0,7,11
47.7168728,-122.3535576,55,48,0,1,5,0,0,1,0
47.7168966,-122.358901,47,41,0,0,2,0,0,0,4
47.7169032,-122.3602501,49,47,0,0,1,0,0,1,0
47.7313231,-122.3671702,199,187,0,0,3,3,0,5,1
47.7298553,-122.3645666,4,4,0,0,0,0,0,0,0
47.7251846,-122.3722505,215,189,4,0,21,0,0,0,1
47.7241166,-122.3686406,37,25,0,0,7,0,0,3,2
47.7224094,-122.3710555,35,34,0,0,1,0,0,0,0
47.7241897,-122.3670999,38,37,0,0,0,0,0,0,1
47.7241378,-122.3704535,50,39,0,1,7,0,0,0,3
47.721626,-122.3730836,24,21,0,0,3,0,0,0,0
47.7221497,-122.3722805,20,17,1,0,0,0,0,0,2
47.7266366,-122.370093,1,1,0,0,0,0,0,0,0
47.7148806,-122.3736887,231,205,1,1,9,2,0,10,3
47.7140648,-122.3727002,25,20,0,0,0,0,0,4,1
47.7267981,-122.3637717,210,184,1,0,8,0,4,10,3
47.7279853,-122.3630334,2,1,0,0,0,0,0,1,0
47.727979,-122.3619979,29,25,0,0,0,0,1,3,0
